"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: SPOL, OBÈINE, MERITVE , LETO"

" ";" ";"3 Registrirane brezposelne osebe";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Ljubljana";10651;10230;8420;7324;9306;11708;13938;14081;15896;16645;16022;15219
" ";"Ljubno";157;152;130;113;162;154;134;131;145;142;143;130
" ";"Ljutomer";696;666;588;546;774;850;838;753;795;766;750;684
" ";"Log - Dragomer";-;-;82;64;87;124;129;123;153;152;141;130
" ";"Logatec";200;174;147;187;404;523;526;516;680;678;632;553
" ";"Loška dolina";101;91;82;102;141;144;166;191;256;223;187;164
" ";"Loški Potok";61;55;48;51;70;66;75;74;93;97;87;87
" ";"Lovrenc na Pohorju";196;183;161;152;176;194;196;157;181;193;196;183
" ";"Luèe";93;90;74;61;85;82;83;85;88;88;89;72
" ";"Lukovica";135;139;119;85;118;149;175;160;181;203;195;187
" ";"Majšperk";223;203;166;145;190;205;187;193;203;196;178;158
" ";"Makole";-;-;93;90;118;124;119;124;132;116;105;86
" ";"Maribor";7742;7365;5889;5206;6487;7473;8293;7939;8287;8319;7970;7304
" ";"Markovci";182;156;125;112;172;187;193;175;182;176;164;159
" ";"Medvode";376;387;392;340;460;540;616;585;671;710;678;622
" ";"Mengeš";242;234;177;147;202;257;282;272;322;348;327;293
" ";"Metlika";374;410;328;311;484;508;601;624;643;665;636;569
" ";"Mežica";137;132;118;108;169;194;192;166;177;172;144;130
" ";"Miklavž na Dravskem polju";289;294;276;250;315;382;420;371;392;399;373;345
" ";"Miren - Kostanjevica";127;123;116;101;175;186;215;234;267;262;214;192
" ";"Mirna";-;-;-;-;-;-;-;130;129;123;100;98
" ";"Mirna Peè";64;75;75;59;81;90;113;107;131;126;101;90
" ";"Mislinja";162;162;147;120;176;203;231;204;215;214;210;184
" ";"Mokronog - Trebelno";-;-;53;53;78;103;124;126;133;126;113;97
" ";"Moravèe";117;106;94;74;124;149;149;153;175;194;165;151
" ";"Moravske Toplice";467;432;363;319;429;519;462;429;416;444;461;402
" ";"Mozirje";334;329;156;133;174;167;172;184;209;237;233;208
" ";"Murska Sobota";1669;1503;1291;1186;1493;1800;1681;1542;1567;1653;1666;1536
" ";"Muta";194;176;145;125;179;231;231;198;212;171;151;148
" ";"Naklo";132;138;111;93;120;168;179;175;177;169;164;151
" ";"Nazarje";144;137;111;94;144;147;149;143;142;169;162;147
" ";"Nova Gorica";1178;1062;703;611;1035;1231;1480;1559;1733;1672;1534;1320
" ";"Novo mesto";1424;1427;1001;913;1196;1393;1676;1860;2046;1990;1796;1634
" ";"Odranci";112;106;83;70;107;141;122;101;95;105;115;100
" ";"Oplotnica";163;161;136;127;179;166;177;184;208;212;194;178
" ";"Ormož";994;809;524;488;704;732;836;801;787;727;716;615
" ";"Osilnica";28;21;15;11;17;28;17;17;21;30;23;19
" ";"Pesnica";580;560;458;420;527;522;556;469;460;448;393;371
" ";"Piran/Pirano";663;601;526;474;606;696;814;820;962;1081;976;940
" ";"Pivka";206;165;144;124;175;220;279;276;325;323;317;310
" ";"Podèetrtek";207;189;161;135;159;177;184;186;193;175;192;180
" ";"Podlehnik";104;92;96;81;100;117;133;137;130;108;88;84
" ";"Podvelka";209;185;136;110;148;181;182;176;194;165;139;122
" ";"Poljèane";-;-;185;152;224;243;251;267;278;261;251;214
" ";"Polzela";309;277;236;201;273;299;320;314;364;351;323;293
" ";"Postojna";591;542;441;359;554;659;787;843;903;908;852;810
" ";"Prebold";378;297;243;197;243;283;280;259;281;297;287;261
" ";"Preddvor";82;79;62;52;90;104;129;128;121;107;97;85
" ";"Prevalje";263;251;205;189;288;344;340;312;369;336;298;279
" ";"Ptuj";1352;1274;994;859;1148;1338;1394;1312;1319;1213;1111;1052
" ";"Puconci";536;485;431;393;499;570;548;501;479;493;505;451
" ";"Raèe - Fram";343;342;311;277;370;423;447;416;441;442;406;385
" ";"Radeèe";230;217;185;146;163;221;249;351;382;320;240;226
" ";"Radenci";362;306;265;231;293;336;332;309;319;320;312;295
" ";"Radlje ob Dravi";396;339;290;264;367;443;422;380;451;412;344;312
" ";"Radovljica";502;463;330;301;530;648;676;645;747;761;726;604
" ";"Ravne na Koroškem";674;643;460;417;631;716;699;652;713;638;551;511
" ";"Razkrižje";54;40;62;51;64;76;79;61;75;73;71;63
" ";"Reèica ob Savinji";-;-;121;111;156;137;122;110;118;147;146;124
" ";"Renèe - Vogrsko";-;-;100;80;137;169;200;206;223;195;176;138
" ";"Ribnica";356;317;220;201;286;331;352;357;425;423;420;407
" ";"Ribnica na Pohorju";77;69;60;56;64;79;87;77;77;81;59;60
" ";"Rogaška Slatina";686;703;580;508;632;695;656;632;676;678;659;633
" ";"Rogašovci";361;324;270;256;318;349;306;254;230;230;259;244
" ";"Rogatec";220;217;171;149;194;203;212;201;224;217;207;200
" ";"Ruše";595;585;464;424;525;569;609;512;503;540;502;459
" ";"Selnica ob Dravi";288;267;262;237;285;313;329;281;277;279;257;236
" ";"Semiè";231;234;197;171;253;249;265;295;310;306;289;262
" ";"Sevnica";838;741;606;540;767;987;1065;1052;1075;1040;915;829
" ";"Sežana";330;318;265;207;318;403;502;592;707;693;597;532
" ";"Slovenj Gradec";675;716;597;544;854;1013;1061;942;1079;1055;897;798
" ";"Slovenska Bistrica";1746;1635;1042;969;1297;1376;1491;1522;1654;1564;1436;1258
" ";"Slovenske Konjice";744;750;596;541;771;810;842;869;949;981;918;918
" ";"Sodražica";68;56;55;47;64;82;80;84;95;85;80;75
" ";"Solèava";23;26;29;22;29;23;27;23;23;27;31;22
" ";"Središèe ob Dravi";-;-;83;67;99;114;132;130;137;114;108;91
" ";"Starše";210;212;194;172;222;238;258;227;235;224;217;212
" ";"Straža";-;-;96;82;116;141;191;224;242;214;162;131
" ";"Sveta Ana";79;65;50;39;77;90;92;74;77;88;92;79
" ";"Sveta Trojica v Slov. goricah";-;-;52;49;82;96;91;82;96;103;89;75
" ";"Sveti Andraž v Slov. goricah";53;56;41;34;55;60;65;56;54;50;40;35
" ";"Sveti Jurij ob Šèavnici";183;162;128;131;164;186;190;176;183;184;185;175
" ";"Sveti Jurij v Slov. goricah";-;-;52;44;67;76;69;64;75;77;73;71
" ";"Sveti Tomaž";-;-;85;87;140;133;143;138;131;132;126;109
" ";"Šalovci";139;125;119;109;123;129;118;108;102;104;98;90
" ";"Šempeter - Vrtojba";171;172;155;136;190;248;299;312;353;341;300;249
" ";"Šenèur";199;188;164;137;209;253;260;267;287;285;272;239
" ";"Šentilj";584;578;542;502;585;586;600;508;479;442;426;401
" ";"Šentjernej";207;220;178;168;225;249;302;326;356;365;345;273
" ";"Šentjur";1015;900;770;708;871;965;951;1063;1146;1130;1063;969
" ";"Šentrupert";-;-;41;37;53;84;118;118;127;113;99;94
" ";"Škocjan";113;112;115;103;132;147;174;178;200;182;173;165
" ";"Škofja Loka";572;497;357;344;623;677;760;777;857;867;780;690
" ";"Škofljica";122;137;150;153;186;266;330;349;442;439;403;408
